PMID	Year	Title
39607208	2024	Changes in cerebral glucose metabolism among mild long COVID patients: an [18F]FDG PET/CT study.
39606594	2024	LED-emitted blue light improves quality of life and reduces fatigue after COVID-19 infection.
39604990	2024	How to establish and sustain a disease registry: insights from a qualitative study of six disease registries in the UK.
39604988	2024	Machine learning predicts pulmonary Long Covid sequelae using clinical data.
39604720	2024	Mapping the Potential Genes and Associated Pathways Involved in Long COVID-Associated Brain Fog Using Integrative Bioinformatics and Systems Biology Strategy.
39603702	2024	Interventions for the management of long covid (post-covid condition): living systematic review.
39603665	2024	Reporting of pre-existing multiple long-term conditions in physical rehabilitation for long COVID: a scoping review.
39603265	2024	Healthcare utilisation of 282,080 individuals with long COVID over two years: a multiple matched control, longitudinal cohort analysis.
39602373	2024	A critical analysis of UK media characterisations of Long Covid in children and young people.
39601588	2024	Environmental Exposures and Long COVID in a Prospective Population-Based Study in Catalonia (COVICAT Study).
39600394	2024	Comparative insights into clinic onboarding and interaction practices for patient engagement in long COVID digital health care.
39600184	2024	Long COVID: A Comprehensive Overview of the Signs and Symptoms across Multiple Organ Systems.
39599909	2024	Beyond Antivirals: Alternative Therapies for Long COVID.
39599883	2024	Longitudinal 
39599809	2024	Bone Mineral Density, Bone Biomarkers, and Joints in Acute, Post, and Long COVID-19: A Systematic Review.
39598316	2024	Insights into the Risk Factors and Outcomes of Post-COVID-19 Syndrome-Results from a Retrospective, Cross-Sectional Study in Romania.
39597960	2024	Reduced Salivary Gustin and Statherin in Long-COVID Cohort with Impaired Bitter Taste.
39597891	2024	Exercise in Postural Orthostatic Tachycardia Syndrome: Focus on Individualized Exercise Approach.
39596903	2024	Red Blood Cell Morphology Is Associated with Altered Hemorheological Properties and Fatigue in Patients with Long COVID.
39596862	2024	Nerve Growth Factor and Brain-Derived Neurotrophic Factor in COVID-19.
39596552	2024	The Chilean COVID-19 Genomics Network Biorepository: A Resource for Multi-Omics Studies of COVID-19 and Long COVID in a Latin American Population.
39595587	2024	KnowVID-19: A Knowledge-Based System to Extract Targeted COVID-19 Information from Online Medical Repositories.
39595012	2024	Individualized and Controlled Exercise Training Improves Fatigue and Exercise Capacity in Patients with Long-COVID.
39594500	2024	Mediterranean Diet and Olive Oil Redox Interactions on Lactate Dehydrogenase Mediated by Gut 
39592773	2024	Long COVID syndrome in children: neutrophilic granulocyte dysfunction and its correlation with disease severity.
39592027	2024	Intravenous immunglobulin as a therapy for autoimmune conditions.
39590834	2024	Salivary Metabolomics in Patients with Long COVID-19 Infection.
39589967	2024	Identifying Factors That Might Affect Outcomes of Exercise-Based Therapies in Long-COVID.
39587352	2024	The consequences of SARS-CoV-2 within-host persistence.
39585134	2024	Perceptions of Long COVID Patients Regarding Health Assistance: Insights from a Qualitative Study in Spain.
39582104	2024	Agenda Setting in Outpatient Consultation of Older Adults With Long-COVID.
39581785	2024	Pulmonary 
39580703	2024	Towards a cure for long COVID: the strengthening case for persistently replicating SARS-CoV-2 as a driver of post-acute sequelae of COVID-19.
39580341	2024	The overlooked epidemic: Fibromyalgia in the shadows of long COVID.
39580033	2024	The effect of pre-COVID and post-COVID vaccination on long COVID: a systematic review and meta-analysis.
39579089	2024	National COVID Cohort Collaborative Data Enhancements: A Path for Expanding Common Data Models.
39578604	2024	Different dynamics of soluble inflammatory mediators after clearance of respiratory SARS-CoV-2 versus blood-borne hepatitis C virus infections.
39576781	2024	Association between long COVID and nonsteroidal anti-inflammatory drug use by patients with acute-phase COVID-19: A nationwide Korea National Health Insurance Service cohort study.
39576127	2024	Uncovering the Therapeutic Potential of Propolis Extract in Managing Hyperinflammation and Long COVID-19: A Comprehensive Bioinformatics Study.
39575994	2024	'It's that camaraderie': Experiences of a Long-COVID peer support group for staff working in health, social care and emergency services.
39575583	2024	Neurologic Manifestations of Long COVID Disproportionately Affect Young and Middle-Age Adults.
39575513	2024	Exercise training in long COVID: the EXER-COVID trial.
